Description	Project	Lab	Assay	Data Type	Validation Dataset	Experimental Factor	Replicates	Treatment	Organism	Cell Line	Strain	Tissue	Stage/Treatment	Date Data Submitted	Release Date	Status	Submission ID	GEO/SRA IDs	GFF Files
Snyder_LIN-15B_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=lin-15B;AbName=eGFP	3		Caenorhabditis elegans		OP184	whole organism	larva: L3 larva	2010-01-22	2010-02-17	released	2610	GSE25802, GSM677667, GSM677668, GSM677669, GSM677670	Snyder_LIN-15B_GFP_L3_combined_peaks.GFF3
Snyder_BLMP-1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=blmp-1;AbName=eGFP	3		Caenorhabditis elegans		OP109	whole organism	larva: L1 larva	2010-01-22	2010-02-17	released	2612	GSE25803, GSM677671, GSM677672, GSM677673, GSM677674	Snyder_BLMP-1_GFP_L1_combined_peaks.GFF3
Snyder_LIN-13_GFP_emb	Snyder	Snyder	ChIP-seq	chromatin		Target=lin-13;AbName=eGFP	3		Caenorhabditis elegans		OP51	whole organism	embryo: embryo	2010-01-22	2010-02-17	released	2613	GSE25804, GSM677675, GSM677676, GSM677677, GSM677678	Snyder_LIN-13_GFP_emb_combined_peaks.GFF3
Snyder_ELT-3_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=elt-3;AbName=eGFP	3		Caenorhabditis elegans		OP75	whole organism	larva: L1 larva	2010-01-22	2010-02-17	released	2614	GSE25805, GSM677679, GSM677680, GSM677681, GSM677682	Snyder_ELT-3_GFP_L1_combined_peaks.GFF3
Snyder_EGL5_POLII_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=egl-5;AbName=RNA polymerase II	3		Caenorhabditis elegans		OP54	whole organism	larva: L3 larva	2010-01-22	2010-02-17	replaced	2616 deprecated by 3162		Snyder_EGL-5_POLII_L3_combined_peaks.GFF3
Snyder_NHR-105_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=nhr-105;AbName=eGFP	3		Caenorhabditis elegans		OP199	whole organism	larva: L3 larva	2010-01-22	2010-02-18	replaced	2617 deprecated by 0		Snyder_NHR-105_GFP_L3_combined_peaks.GFF3
Snyder_CEH-30_GFP_lemb	Snyder	Snyder	ChIP-seq	chromatin		Target=ceh-30;AbName=eGFP	3		Caenorhabditis elegans		OP120	whole organism	embryo: elongating embryo, gastrulating embryo, late cleavage stage embryo	2010-01-22	2010-02-18	released	2620	GSE25808, GSM677683, GSM677684, GSM677685, GSM677686	Snyder_CEH-30_GFP_lemb_combined_peaks.GFF3
Snyder_EGL-27_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=egl-27;AbName=eGFP	3		Caenorhabditis elegans		OP177	whole organism	larva: L1 larva	2010-01-22	2010-02-18	released	2621	GSE25809, GSM677687, GSM677688, GSM677689, GSM677690	Snyder_EGL-27_GFP_L1_combined_peaks.GFF3
Snyder_SKN-1_GFP_L1	Snyder	Snyder	ChIP-seq	chromatin		Target=skn-1;AbName=eGFP	3		Caenorhabditis elegans		WBGene00004804	whole organism	larva: L1 larva	2010-01-22	2010-02-18	released	2622	GSE25810, GSM677691, GSM677692, GSM677693, GSM677694	Snyder_SKN-1_GFP_L1_combined_peaks.GFF3
Snyder_PQM-1_GFP_L3	Snyder	Snyder	ChIP-seq	chromatin		Target=pqm-1;AbName=eGFP	3		Caenorhabditis elegans		OP201	whole organism	larva: L3 larva	2010-01-22	2010-02-18	released	2623	GSE25811, GSM677695, GSM677696, GSM677697, GSM677698	Snyder_PQM-1_GFP_L3_combined_peaks.GFF3
RNAseq - 0911 aggregate fourteen stages - sequences, alignments, genelets	Waterston	Waterston	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans		BA671, CB1370, CB1489, CB4689, MT10430, N2	whole organism	mixed: L1 larva, L2 larva, L2d-dauer molt, L3 larva, L4 larva, L4 larva male, adult, blastula embryo, dauer larva, elongating embryo, embryo, enclosing embryo, fully-elongated embryo, gastrulating embryo, late cleavage stage embryo, newly molted young adult hermaphrodite, post dauer stage	2010-01-26		reviewing	2644	SRX001872, SRX001873, SRX001874, SRX001875, SRX004863, SRX004864, SRX004865, SRX004866, SRX004867, SRX004868, SRX004869, SRX008136, SRX008138, SRX008139, SRX008140, SRX011569	set.20090106.2_3_2_2_4_4_3_2_2.gff, set.20090921.2_3_2_2_4_3_3_2_2.ws180.gff, set.20090106.2_3_2_2_5_3_3_2_2.gff, mid-L3_25dC_25hrs_post-L1.genelets.RNASEQ.ws170.gff3, male_mid-L4_25dC_30hrs_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_0911.confirmed_splice_leaders.gff3, mid-L4_25dC_36hrs_post-L1.genelets.RNASEQ.ws170.gff3, early_embryo.genelets.RNASEQ.ws170.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.genelets.RNASEQ.ws170.gff3, set.20090106.2_3_2_2_4_3_3_2_2.gff, Aggregate_0911.confirmed_introns_all.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_0911.confirmed_polya.gff3, set.20090106.2_3_2_2_3_2_2_2_2.gff, mid-L2_25dC_14hrs_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_0911.integrated_genelets.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.genelets.RNASEQ.ws170.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.RNASEQ.ws170.gff3, mid-L1_20dC_4hrs_post-L1.genelets.RNASEQ.ws170.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.genelets.RNASEQ.ws170.gff3, UTRome_ABI.WS180.CEUP1.20090422.gff3, Aggregate_0911.genelets.RNASEQ.ws170.gff3, dauer_daf-2_25dC_91hrs_post-L1.genelets.RNASEQ.ws170.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.genelets.RNASEQ.ws170.gff3, embryo_him-8_20dC_post-L1.genelets.RNASEQ.ws170.gff3, Aggregate_0911.integrated_transcripts.ws170.gff3
Histone_H3K4me2_N2_EEMB_(MP07030_H3K4ME2DAM1570816_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K4Me2;AbName=H3K4Me2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-26	2010-02-18	replaced	2645 deprecated by 3199	GSE22745, GSM562774	
Histone_H3K9me1_N2_EEMB_(AB9045_H3K9ME1291918_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me1;AbName=H3K9Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-26	2010-02-18	released	2646	GSE22746, GSM562775, GSM562776	
RNAseq - 0911 aggregate fourteen stages - non-redundant exons	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans					2010-01-26	2010-02-19	released	2647		mid-L1_20dC_4hrs_post-L1.integrated_transcripts.ws170.gff3, embryo_him-8_20dC_post-L1.integrated_transcripts.ws170.gff3, mid-L4_20dC_36hrs_post-L1.integrated_transcripts.ws170.gff3, dauer_daf-2_25dC_91hrs_post-L1.integrated_transcripts.ws170.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.integrated_transcripts.ws170.gff3, Young_Adult_25dC_46hrs_post-L1.integrated_transcripts.ws170.gff3, early_embryo.integrated_transcripts.ws170.gff3, male_mid-L4_25dC_30hrs_post-L1.integrated_transcripts.ws170.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.integrated_transcripts.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.integrated_transcripts.ws170.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.integrated_transcripts.ws170.gff3, C_elegans_nrexon_v2.0.ws190.gff3, mid-L2_20dC_14hrs_post-L1.integrated_transcripts.ws170.gff3, mid-L3_20dC_25hrs_post-L1.integrated_transcripts.ws170.gff3, Aggregate_0911.integrated_transcripts.v3.ws170.gff3, lin-35(n745)_mid-L1_25dC_4.0hrs_post-L1.integrated_transcripts.ws170.gff3
Intron Confirmation Chromosome I 2010-01-28	Waterston	Green	RTPCR	gene model		Reactions=447;Features=572	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2010-01-28	2010-02-13	released	2718		set.20100126.2_3_2_2_4_3_3_2_2_2.ws180.gff
SL Acceptor Site Confirmation 2010-01-28	Waterston	Green	RACE	gene model		Reactions=1405	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, all stages, dauer larva, embryo	2010-01-28	2010-02-17	released	2720		set.20100203.2_3_2_2_4_3_3_2_3_3.ws180.gff
Histone_H3K4me1_N2_EEMB_(AB8895_H3K4ME1733246_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K4Me1;AbName=H3K4Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-29	2010-02-18	released	2726	GSE22747, GSM562777, GSM562778	
Histone_H3K27ac_N2_EEMB_(WA30634849_H3K27AC_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-29	2010-02-18	replaced	2727 deprecated by 3200	GSE22748, GSM562779, GSM562780	
Histone_H3K9ac_N2_EEMB_(AB4441_H3K9AC_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Ac;AbName=H3K9Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-29	2010-02-18	replaced	2728 deprecated by 0	GSE22749, GSM562781, GSM562782	
LEM-2_N2_MXEMB_(SDQ3891_LEM2_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=lem-2;AbName=SDQ3891_LEM2, SDQ4051_LEM2;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2010-01-29	2010-02-18	released	2729	GSE22750, GSM562783, GSM562784, GSM562785, GSM562786	
Day0_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	2		Caenorhabditis elegans		BA671	whole organism	larva: newly molted young adult hermaphrodite	2010-01-29	2010-02-13	released	2730	GSM463029	
Day5_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	adult: 5-days post-L4 adult hermaphrodite	2010-01-29	2010-02-13	released	2732	GSM463026	
Day8_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	2		Caenorhabditis elegans		BA671	whole organism	adult: 7-10 days post-L4 adult hermaphrodite	2010-01-29	2010-02-13	released	2733	GSM463030	
Day12_spe-9 Solexa Raw Data SOAP-aligned	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	adult: adult hermaphrodite	2010-01-29	2010-02-13	released	2734	GSM463028	
NPP-13_N2_MXEMB_(SDQ3897_NPP13_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=npp-13;AbName=SDQ4094_NPP13;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2010-01-29	2010-02-18	released	2738	GSE22751, GSM562787, GSM562788, GSM562789	
Histone_H3K9me1_N2_EEMB_(AB8896_H3K9ME1104560_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K9Me1;AbName=H3K9Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-29	2010-02-18	released	2739	GSE22752, GSM562790	
Histone_H3K27ac_N2_EEMB_(AB4729_H3K27AC361571_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-29	2010-02-18	released	2740	GSE22753, GSM562791	
UTRome_V2_3UTRs_multiple_evidences	Piano	Piano	Computational annotation	gene model			COMPUTATIONAL ANNOTATION		Caenorhabditis elegans					2010-01-29	2010-02-18	released	2745	GSM446652	CEUP_UTRs.gff3
N2_Worm_Embryo_mRNA_Expression	Henikoff	Ahmad	tiling array: RNA	signal data		Array=54bp;ArrayPlatform=Nimblegen	2		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-02-01	2010-07-08	released	2762	GSE25391, GSM624893, GSM624894	
Mononucleosomes_N2_MXEMB	Lieb	Lieb	DNA-seq	signal data			2		Caenorhabditis elegans		N2	whole organism	embryo: proliferating embryo	2010-02-01	2010-02-18	released	2763	GSE20136	
Mononucleosomes_JK1107_AD	Lieb	Lieb	DNA-seq	signal data			2		Caenorhabditis elegans		JK1107	whole organism	larva: newly molted young adult hermaphrodite	2010-02-01	2010-02-18	released	2764	GSE20136	
Histone_H3K20me1_N2_EEMB_(AB9051_H4K20ME1104513_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H4K20Me1;AbName=H4K20Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-02-01	2010-02-17	released	2765	GSE22754, GSM562792, GSM562793	
Histone_H4_Tetra_ac_N2_EEMB_(LPAR109_H4TETRAAC109_N2_EEMB)	Lieb	Strome	ChIP-chip	chromatin modification		Target=H4TetraAc;AbName=H4TetraAc;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-02-01	2010-02-17	released	2766	GSE22755, GSM562794, GSM562795	
CBP-1_N2_MXEMB_(SDQ3582_CBP1_N2_MXEMB)	Lieb	Lieb	ChIP-chip	chromatin		Target=cbp-1;AbName=SDQ3582_CBP1, SDQ3575_CBP1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2010-02-01	2010-02-17	released	2767	GSE22756, GSM562796, GSM562797, GSM562798, GSM562799	
Histone_H4_N2_L3_(MP05858_H4DAM1636076_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H4;AbName=H4;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2768	GSE25352, GSM624426, GSM624427	
Histone_H3K9me1_N2_L3_(AB9045_H3K9ME1291918_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K9Me1;AbName=H3K9Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2770	GSE25353, GSM624428, GSM624429	
Histone_H3K27ac_N2_L3_(AB4729_H3K27AC361571_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2771	GSE25354, GSM624430, GSM624431	
Histone_H3K27ac_N2_L3_(WA30634849_H3K27AC_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K27Ac;AbName=H3K27Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2773	GSE25355, GSM624432, GSM624433	
Histone_H4K8ac_N2_L3_(AB15823_H4K8AC487128_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H4K8Ac;AbName=H4K8Ac;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2774	GSE25356, GSM624434, GSM624435	
Histone_H3K4me1_N2_L3_(AB8895_H3K4ME1733246_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H3K4Me1;AbName=H3K4Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2775	GSE25357, GSM624436, GSM624437	
Embryo_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2010-02-01	2010-02-13	released	2776	GSM336052	embryo_miRNA_0210.gff3
mid-L1_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L1 larva	2010-02-01	2010-02-13	released	2777	GSM336055	mid-L1_miRNA_0210.gff3
mid-L2_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L2 larva	2010-02-01	2010-02-13	released	2778	GSM336056	mid-L2_miRNA_0210.gff3
mid-L3_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-13	released	2779	GSM336058	mid-L3_miRNA_0210.gff3
mid-L4_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: L4 larva	2010-02-01	2010-02-13	released	2780	GSM336059	mid-L4_miRNA_0210.gff3
young-adult_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-02-01	2010-02-13	released	2781	GSM336060	young-adult_miRNA_0210.gff3
male-yAd_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		CB4689	whole organism	adult: adult male	2010-02-01	2010-02-13	released	2782	GSM336086	male-yAd_miRNA_0210.gff3
Histone_H4K20me1_N2_L3_(AB9051_H4K20ME1104513_N2_L3)	Lieb	Ahringer	ChIP-chip	chromatin modification		Target=H4K20Me1;AbName=H4K20Me1;Array=40bp;ArrayPlatform=Nimblegen	1		Caenorhabditis elegans		N2	whole organism	larva: L3 larva	2010-02-01	2010-02-17	released	2784	GSE25358, GSM624438, GSM624439	
Day0_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	larva: newly molted young adult hermaphrodite	2010-02-01	2010-02-13	released	2785	GSM463029	Day0-spe-9_miRNA_0210.gff3
Day5_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	adult: 5-days post-L4 adult hermaphrodite	2010-02-01	2010-02-13	released	2786	GSM463026	Day5-spe-9_miRNA_0210.gff3
Day8_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	adult: 7-10 days post-L4 adult hermaphrodite	2010-02-01	2010-02-13	released	2787	GSM463030	Day8-spe-9_miRNA_0210.gff3
Day12_spe-9_23dC_miRNA_expression_change	Waterston	Slack	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA671	whole organism	adult: adult hermaphrodite	2010-02-01	2010-02-13	released	2788	GSM463028	Day12-spe-9_miRNA_0210.gff3
small RNA Illumina sequencing of eri-1(mg366)	Piano	Kim	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		GR1373	whole organism	larva: newly molted young adult hermaphrodite	2010-02-02	2010-02-14	released	2821	GSM510086	
small RNA Illumina sequencing of glp-4(bn2)	Piano	Kim	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		SS104	whole organism	larva: newly molted young adult hermaphrodite	2010-02-02	2010-02-14	released	2822	GSM510087	
small RNA Illumina sequencing of him-8 sperm	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		CB1489	spermatid	adult: adult male	2010-02-02	2010-02-15	released	2823	GSM510089	
small RNA Illumina sequencing of N2 whole worms	Piano	Kim	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	mixed: L1 larva, L2 larva, L3 larva, L4 larva, adult, embryo, larva	2010-02-02	2010-02-14	released	2825	GSM510088	
small RNA Illumina sequencing of N2 embryos	Piano	Kim	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	embryo: embryo	2010-02-02	2010-02-15	released	2826	GSM510085	
small RNA 454 sequencing of eri-1(mg366)	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		GR1373	whole organism	larva: newly molted young adult hermaphrodite	2010-02-02	2010-02-14	released	2827	GSM509929	
small RNA 454 sequencing of glp-4(bn2)	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		SS104	whole organism	larva: newly molted young adult hermaphrodite	2010-02-02	2010-02-14	released	2828	GSM509930	
small RNA 454 sequencing of him-8 sperm	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		CB1489	spermatid	adult: adult male	2010-02-02	2010-02-14	released	2829	GSM509932	
small RNA Illumina sequencing of fer-1 unfertilized oocytes	Piano	Kim	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA1	oocyte	adult: adult male	2010-02-02	2010-02-15	released	2830	GSM510090	
small RNA 454 sequencing of N2 young adults	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-02-02	2010-02-14	released	2831	GSM509931	
small RNA 454 sequencing of fer-1 unfertilized oocytes	Piano	Piano	RNA-seq	RNA profiling		RNAsize=<200bp	1		Caenorhabditis elegans		BA1	oocyte	adult: adult male	2010-02-02	2010-02-14	released	2832	GSM509933	
RNAseq - Adult spe-9 23dC 8days post-L4 molt genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		BA671	whole organism	adult: adult	2010-01-16	2010-02-04	released	2835	SRX008136	Adult_spe-9_23dC_8days_post-L4_molt.confirmed_polya.gff3, Adult_spe-9_23dC_8days_post-L4_molt.confirmed_splice_leaders.gff3, Adult_spe-9_23dC_8days_post-L4_molt.genelets.RNASEQ.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.wormbase_transcripts.ws170.gff3, Adult_spe-9_23dC_8days_post-L4_molt.confirmed_introns_all.gff3
RNAseq - Young Adult 25dC 46hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	larva: newly molted young adult hermaphrodite	2010-01-16	2010-02-04	released	2836	SRX001873	Young_Adult_25dC_46hrs_post-L1.confirmed_splice_leaders.gff3, Young_Adult_25dC_46hrs_post-L1.genelets.RNASEQ.ws170.gff3, Young_Adult_25dC_46hrs_post-L1.confirmed_introns_all.gff3, Young_Adult_25dC_46hrs_post-L1.confirmed_polya.gff3, Young_Adult_25dC_46hrs_post-L1.wormbase_transcripts.ws170.gff3
RNAseq - dauer daf-2 25dC 91hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		CB1370	whole organism	larva: dauer larva	2010-01-16	2010-02-04	released	2837	SRX008138	dauer_daf-2_25dC_91hrs_post-L1.genelets.RNASEQ.ws170.gff3, dauer_daf-2_25dC_91hrs_post-L1.wormbase_transcripts.ws170.gff3, dauer_daf-2_25dC_91hrs_post-L1.confirmed_introns_all.gff3, dauer_daf-2_25dC_91hrs_post-L1.confirmed_polya.gff3, dauer_daf-2_25dC_91hrs_post-L1.confirmed_splice_leaders.gff3
RNAseq - dauer entry daf-2 25dC 48hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		CB1370	whole organism	larva: L2d-dauer molt	2010-01-16	2010-02-04	released	2838	SRX008139	dauer_entry_daf-2_25dC_48hrs_post-L1.wormbase_transcripts.ws170.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_introns_all.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_polya.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.confirmed_splice_leaders.gff3, dauer_entry_daf-2_25dC_48hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - dauer exit daf-2 25dC 91hrs 15dC 12hrs post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling		Version=2	1		Caenorhabditis elegans		CB1370	whole organism	larva: post dauer stage	2010-01-16	2010-02-05	released	2839	SRX008140	dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.confirmed_polya.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.confirmed_introns_all.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.confirmed_splice_leaders.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.wormbase_transcripts.ws170.gff3, dauer_exit_daf-2_25dC_91hrs_15dC_12hrs_post-L1.genelets.RNASEQ.ws170.gff3
RNAseq - early embryo genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	embryo: blastula embryo, gastrulating embryo	2010-01-16	2010-02-18	released	2840	SRX004863, SRX004864	early_embryo.wormbase_transcripts.ws170.gff3, early_embryo.confirmed_splice_leaders.gff3, early_embryo.genelets.RNASEQ.ws170.gff3, early_embryo.confirmed_introns_all.gff3, early_embryo.confirmed_polya.gff3
RNAseq - embryo him-8 20dC post-L1 genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		CB1489	whole organism	embryo: embryo	2010-01-16	2010-02-05	released	2841	SRX011569	embryo_him-8_20dC_post-L1.confirmed_introns_all.gff3, embryo_him-8_20dC_post-L1.genelets.RNASEQ.ws170.gff3, embryo_him-8_20dC_post-L1.wormbase_transcripts.ws170.gff3, embryo_him-8_20dC_post-L1.confirmed_polya.gff3, embryo_him-8_20dC_post-L1.confirmed_splice_leaders.gff3
RNAseq - late embryo 20dC 4.5hrs post-early embryo genelets revised	Waterston	Waterston	RNA-seq	RNA profiling			1		Caenorhabditis elegans		N2	whole organism	embryo: elongating embryo, enclosing embryo, fully-elongated embryo, late cleavage stage embryo	2010-01-16	2010-02-09	released	2842	SRX004865, SRX004866	late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_polya.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.genelets.RNASEQ.ws170.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_splice_leaders.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.confirmed_introns_all.gff3, late_embryo_20dC_4.5hrs_post-early_embryo.wormbase_transcripts.ws170.gff3
