ID	Project	Lab	Organism	Data Type	Experiment Type	Tissue	Strain	Cell Line	Stage	Antibody	Creation Date	Release Date	GEO IDs	Name
824	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K9Ac	2009-09-18	2009-10-14	GSM439458	E12-16_H3K9Ac_chip-seq
825	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K9Ac	2009-09-18	2009-10-13	GSM401402	E16-20_H3K9Ac_chip-seq
826	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K9Ac	2009-09-18	2009-10-13	GSM401424	E20-24_H3K9Ac_chip-seq
827	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K9Ac	2009-09-18	2009-10-13	GSM401422	L1_H3K9Ac_chip-seq
828	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K9Ac	2009-09-18	2009-10-13	GSM401420	L2_H3K9Ac_chip-seq
829	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	H3K9Ac	2009-09-18	2009-10-13	GSM401417	L3_H3K9Ac_chip-seq
830	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K9Ac	2009-09-18	2009-10-13	GSM401414	Pupae_H3K9Ac_chip-seq
831	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K9Ac	2009-09-18	2009-10-13	GSM439459	AdultFemale_H3K9Ac_chip-seq
832	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K9Ac	2009-09-18		GSM432579	AdultMale_H3K9Ac_chip-seq
834	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27Ac	2009-09-18		GSM401407	E0-4_H3K27Ac_chip-seq
835	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	H3K27Ac	2009-09-18	2009-10-13	GSM401404	E4-8_H3K27Ac_chip-seq
836	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K27Ac	2009-09-18	2009-10-14	GSM432583	E8-12_H3K27Ac_chip-seq
837	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	H3K27Ac	2009-09-18	2009-10-13	GSM432582	E12-16_H3K27Ac_chip-seq
838	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K27Ac	2009-09-18	2009-10-12	GSM401401	E16-20_H3K27Ac_chip-seq
839	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	H3K27Ac	2009-09-18	2009-10-12	GSM401423	E20-24_H3K27Ac_chip-seq
840	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	H3K27Ac	2009-09-18	2009-10-13	GSM432581	L1_H3K27Ac_chip-seq
841	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K27Ac	2009-09-18	2009-10-13	GSM401419	L2_H3K27Ac_chip-seq
842	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	H3K27Ac	2009-09-18	2009-10-13	GSM401416	L3_H3K27Ac_chip-seq
843	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	H3K27Ac	2009-09-18	2009-10-13	GSM401413	Pupae_H3K27Ac_chip-seq
844	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K27Ac	2009-09-18	2009-10-15	GSM401412	AdultFemale_H3K27Ac_chip-seq
845	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	H3K27Ac	2009-09-18		GSM401410	AdultMale_H3K27Ac_chip-seq
846	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	RNA Polymerase II	2009-09-18	2009-10-13	GSM432578	E4-8_PolII_chip-seq
847	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	RNA Polymerase II	2009-09-18		GSM432594	E8-12_PolII_chip-seq
848	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	RNA Polymerase II	2009-09-18	2009-10-14	GSM439461	E12-16_PolII_chip-seq
849	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq		y; cn bw sp		embryonic stage 17	nejire	2009-10-15	2009-10-15	GSM432584	E16-20_Pol_II_chip-seq
850	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	RNA Polymerase II	2009-09-18	2009-10-14	GSM439460	E20-24_PolII_chip-seq
851	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	RNA Polymerase II	2009-09-18	2009-10-12	GSM432589	L1_PolII_chip-seq
852	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	RNA Polymerase II	2009-09-18	2009-10-12	GSM432587	L3_PolII_chip-seq
853	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	RNA Polymerase II	2009-09-18	2009-10-12	GSM432586	Pupae_PolII_chip-seq
854	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	nejire	2009-09-18	2009-10-13	GSM439463	E0-4_CBP_chip-seq
855	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	nejire	2009-09-18	2009-10-15	GSM408988	E4-8_CBP_chip-seq
856	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 15, embryonic stage 16	nejire	2009-09-18	2009-10-12	GSM408986	E12-16_CBP_chip-seq
857	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq		y; cn bw sp		embryonic stage 17	nejire	2009-09-18	2009-10-15	GSM432584	E16-20_CBP_chip-seq
858	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		embryonic stage 17	nejire	2009-09-18	2009-10-13	GSM439462	E20-24_CBP_chip-seq
859	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		first instar larval stage	nejire	2009-09-18	2009-10-15	GSM408990	L1_CBP_chip-seq
860	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		third instar larval stage	nejire	2009-09-18	2009-10-13	GSM408992	L3_CBP_chip-seq
861	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		pupal stage	nejire	2009-09-18	2009-10-13	GSM408994	Pupae_CBP_chip-seq
862	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	nejire	2009-09-18		GSM408982	AdultFemale_CBP_chip-seq
863	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		adult stage	nejire	2009-09-18		GSM408984	AdultMale_CBP_chip-seq
864	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K4me1, No Antibody Control	2009-09-18	2009-10-13		E8-12_H3K4Me1 ChIP-chip
865	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K4me3, No Antibody Control	2009-09-18	2009-10-13		E8-12_H3K4Me3 ChIP-chip
866	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K9me3, No Antibody Control	2009-09-18	2009-10-15		E8-12_H3K9Me3 ChIP-chip
867	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27me3, No Antibody Control	2009-09-18	2009-10-15		E0-4_H3K27Me3 ChIP-chip
868	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K27me3, No Antibody Control	2009-09-18	2009-10-13		E8-12_H3K27Me3 ChIP-chip
869	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K27me3, No Antibody Control	2009-09-18	2009-10-13		AdultMale_H3K27Me3 ChIP-chip Set2
870	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K9Ac, No Antibody Control	2009-09-18	2009-10-15		E8-12_H3K9Ac ChIP-chip
871	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K9Ac, No Antibody Control	2009-09-18	2009-10-15		AdultMale_H3K9Ac ChIP-chip set2
872	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	H3K27Ac, No Antibody Control	2009-09-18	2009-10-15		E8-12_H3K27Ac ChIP-chip
873	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K27Ac, No Antibody Control	2009-09-18	2009-10-13		AdultMale_H3K27Ac ChIP-chip
874	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	H3K27Ac, No Antibody Control	2009-09-18	2009-10-15		AdultMale_H3K27Ac ChIP-chip Set2
875	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	nejire, No Antibody Control	2009-09-18	2009-10-15		E0-4_CBP ChIP-chip
876	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip				embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	nejire, No Antibody Control	2009-09-18	2009-10-13		E4-8_CBP ChIP-chip
877	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	nejire, No Antibody Control	2009-09-18	2009-10-14		E16-20_CBP ChIP-chip
878	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		first instar larval stage	nejire, No Antibody Control	2009-09-18	2009-10-15		L1_CBP ChIP-chip
879	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		third instar larval stage	nejire, No Antibody Control	2009-09-18	2009-10-15		L3_CBP ChIP-chip
880	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		pupal stage	nejire, No Antibody Control	2009-09-18	2009-10-15		Pupae_CBP ChIP-chip
881	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	nejire, No Antibody Control	2009-09-18	2009-10-15		AdultFemale_CBP ChIP-chip
882	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	nejire, No Antibody Control	2009-09-18	2009-10-15		AdultMale_CBP ChIP-chip
883	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		second instar larval stage	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		L2_PolII ChIP-chip
884	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		third instar larval stage	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		L3_PolII ChIP-chip
885	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		E0-4_8wg16 ChIP-chip
886	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-15		E4-8 PolII set2 (8wg16) ChIP-chip
887	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 9	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-15		E4-8_8wg16 ChIP-chip
888	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 17	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		E16-20_8wg16 ChIP-chip
889	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		third instar larval stage	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		L3_8wg16 ChIP-chip
890	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		pupal stage	RNA Polymerase II, No Antibody Control	2009-10-16	2009-10-16	GSM418514	Pupae_8wg16 ChIP-chip
891	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		adult stage	RNA Polymerase II, No Antibody Control	2009-09-18	2009-10-13		AdultFemale_8wg16 ChIP-chip
895	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-seq	whole organism	y; cn bw sp		second instar larval stage	H3K27Ac	2009-10-16	2009-10-16	GSM401419	L2_H3K27Ac (s2) ChIP-seq
898	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	Kruppel, No Antibody Control	2009-10-16	2009-10-16		E0-8_Kr-D2 ChIP-chip
899	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	RNA Polymerase II, No Antibody Control	2009-10-13	2009-10-15		E0-12_PolII
900	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	nejire, No Antibody Control	2009-10-15	2009-10-15		E0-4_CBP
901	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	Su(Hw), No Antibody Control	2009-10-13	2009-10-15		E0-12_Su(Hw)PG
902	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		7T-CAD		embryonic stage 1, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	cad, cad	2009-10-16	2009-10-16		E0-4_GFP_7T ChIP-chip
903	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip				embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15	nejire, No Antibody Control	2009-10-12	2009-10-15		E8-12_CBP_Set2
904	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip				second instar larval stage	RNA Polymerase II, No Antibody Control	2009-10-16	2009-10-16		L2_8wg16 ChIP-chip
905	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 15, embryonic stage 16	nejire, No Antibody Control	2009-10-16	2009-10-16		E12-16_CBP ChIP-chip
906	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip		y; cn bw sp		embryonic stage 15, embryonic stage 16	RNA Polymerase II, No Antibody Control	2009-10-16	2009-10-16		E12-16_Pol_II ChIP-chip
908	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	CTCF N-terminus, No Antibody Control	2009-10-16	2009-10-16		Kc167_CTCF-N ChIP-chip
912	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	H3K4me3, No Antibody Control	2009-10-16	2009-10-16		H3K4me3_Kc167 ChIP-chip
913	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	CTCF N-terminus, No Antibody Control	2009-10-16	2009-10-16		CTCF-N_S2 ChIP-chip
914	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K4me3, No Antibody Control	2009-10-16	2009-10-16		H3K4me3_S2 ChIP-chip
918	White	White	Drosophila melanogaster	binding sites, signal data	RNA tiling array		y; cn bw sp		adult stage, embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9		2009-10-15	2009-10-17		TotalRNA_E0-12h
919	White	White	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism	y; cn bw sp		embryonic stage 1, embryonic stage 10, embryonic stage 11, embryonic stage 12, embryonic stage 13, embryonic stage 14, embryonic stage 15, embryonic stage 2, embryonic stage 3, embryonic stage 4, embryonic stage 5, embryonic stage 6, embryonic stage 7, embryonic stage 8, embryonic stage 9	H3K27me3, No Antibody Control	2009-10-15	2009-10-15		E0-12_H3K27me3 ChIP-chip
921	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	BEAF32A and B	2009-09-18	2009-10-12		BEAF-70.BG3
922	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	BEAF32A and B	2009-09-18	2009-10-12		BEAF-70.S2
923	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	BRE1	2009-09-18	2009-10-12		BRE1_Q2539.S2
924	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	CP190	2009-09-18	2009-10-12		CP190-HB.BG3
925	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	CP190	2009-09-18	2009-10-12		CP190-HB.S2
926	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	dMi-2	2009-09-18	2009-10-12		dMi-2_Q2626.S2
927	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	dRING	2009-09-18	2009-10-15		dRING Q3200.BG3
928	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	dRING	2009-09-18	2009-10-15		dRING Q3200.S2
930	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	H3K18Ac	2009-09-18	2009-10-12		H3K18Ac (new lot).Clone_8
931	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip					H3K36me3	2009-09-18	2009-10-13		H3K36me3.14-16 hr OR embryo
932	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip					H3K36me3	2009-09-18	2009-10-13		H3K36me3.2-4 hr OR embryo
936	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip					H3K9me2	2009-09-18	2009-10-13		H3K9me2-Ab2 (new lot).2-4 hr OR embryo
937	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	H3K9me2	2009-09-18	2009-10-12		H3K9me2-Ab2 (new lot).Clone_8
938	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	H3K9me2	2009-09-18	2009-10-12		H3K9me2-Ab2 (new lot).Kc
940	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	H3K9me3	2009-09-18	2009-10-12		H3K9me3 (new lot).Clone_8
941	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	HP1b	2009-09-18	2009-10-12		HP1b (Henikoff).S2
942	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	HP1c	2009-09-18	2009-10-12		HP1c (MO 462).BG3
943	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	HP1c	2009-09-18	2009-10-12		HP1c (MO 462).S2
944	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	HP2	2009-09-18	2009-10-12		HP2 (Ab2-90).S2
945	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	JIL1	2009-09-18	2009-10-12		JIL1_Q3433.S2
946	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	MBD-R2	2009-09-18	2009-10-12		MBD-R2_Q2567.S2
947	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	NURF301	2009-09-18	2009-10-12		NURF301_Q2602.S2
948	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	PCL	2009-09-18	2009-10-15		PCL Q3412.BG3
949	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	Kc167	late embryonic stage	PIWI	2009-09-18	2009-10-12		PIWI-Q2569.Kc
950	Karpen	Kuroda	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	PolII	2009-09-18	2009-10-12		RNA pol II (ALG).BG3
951	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	SU(HW)	2009-09-18	2009-10-12		SU(HW)-HB.BG3
952	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	CNS-derived cell-line	N/A	ML-DmBG3-c2	third instar larval stage	Su(var)3-9	2009-09-18	2009-10-12		Su(var)3-9.BG3
953	Karpen	Karpen	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	WDS	2009-09-18	2009-10-12		WDS_Q2691.S2
954	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism				H3K4me2	2009-09-18	2009-10-14		H3K4me2.OR Head Nuclei
955	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism				HP1a	2009-09-18	2009-10-14		HP1 wa191.D.mel 3rd Instar Larvae Nuclei
956	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism				H3K9me2	2009-09-18	2009-10-14		H3K9me2 antibody2.D.mel 3rd Instar Larvae Nuclei
957	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism				HP1a	2009-09-18	2009-10-14		HP1 wa191.OR Head Nuclei
958	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	whole organism				H3K9me3	2009-09-18	2009-10-14		H3K9me3 (new lot).D.mel 3rd Instar Larvae Nuclei
963	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K79me1	2009-09-18	2009-10-12		H3K79Me.S2
964	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	dorsal mesothoracic disc	N/A	CME W1 Cl.8+	third instar larval stage	H3K9ac	2009-09-18	2009-10-12		H3K9ac.Clone_8
965	Karpen	Elgin	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip	embryo-derived cell-line	N/A	S2-DRSC	late embryonic stage	H3K4me2	2009-09-18	2009-10-12		H3K4me2.ab.S2
966	Karpen	Pirrotta	Drosophila melanogaster	chromatin binding site signal data	ChIP-chip					H3K4me3	2009-09-18	2009-10-14		H3K4Me3(LP).2-4 hr OR embryo
